Location ,State,"Population (US Census est 2011)",Ownership?,Open Data Law?,Link ,Type 
Tennessee,TN,6403353,Government,No,http://www.tn.gov/opengov/,US State
Arizona,AZ,6482505,Government,No,http://openbooks.az.gov/app/transparency/index.html,US State
Indiana,IN,6516922,Government ,No,http://inmap.indiana.edu/viewer.htm,US State
Massachusetts,MA,6587536,Government,No,http://www.mass.gov/data/,US State
Washington,WA,6830038,Government,No,http://data.wa.gov,US State
Virginia ,VA,8096604,Government,No,http://data.openva.com,US State
Virginia Data Point,VA,8096604,Government,No,http://datapoint.apa.virginia.gov/,US State
New York City,NY,8244910,Government,Yes,http://www.opendatanyc.com,US City or County
North Carolina [OpenBook],NC,9656401,Government,No,http://www.ncopenbook.gov/NCOpenBook/,US City or County
Chicago [Metro],IL ,9729825,Government ,No,http://www.metrochicagodata.org,US City or County
Georgia,GA,9815210,Government,No,http://www.open.georgia.gov/,US State
Michigan,MI,9876187,Government,No,http://www.michigan.gov/data/,US State
Ohio,OH,11544951,Government ,in progress,http://www.sos.state.oh.us/betterLives.aspx,US State
Pennsylvania [Geodata],PA,12702379,University ,No,http://www.pasda.psu.edu/uci/SearchResults.aspx?shortcutKeyword=base&searchType=shortcut&sessionID=50734710420131023181913,US State
Illinois ,IL ,12869257,Government,in progress,http://data.illinois.gov,US City or County 
Illinois South Suburban Mayors and Managers,IL ,12869257,Government,in progress,https://data.illinois.gov/ssmma,Other State Related
Florida,FL,19057542,Government ,No,http://www.floridahasarighttoknow.com/,US State
New York,NY,19465197,Government,Yes,https://data.ny.gov/,US State
New York [Health Data] ,NY,19465197,Government,Yes,http://health.data.ny.gov,Other State Related
New York [State Data Center],NY,19465197,Government,Yes,http://esd.ny.gov/NYSDataCenter.html,Other State Related
New York [Department of Health],NY,19465197,Government,Yes,https://health.data.ny.gov/,Other State Related
New York [State Senate],NY,19465197,Government,Yes,http://www.nysenate.gov/opendata/,Other State Related
Texas,TX,25674681,Government,No,http://www.texas.gov/en/Connect/Pages/open-data.aspx,US State
Texas [Comptroller Transparency],TX,25674681,Government,No,http://www.texastransparency.org/opendata/index.php,Other State Related
California,CA,37691912,Government,No,http://data.ca.gov/,US State
